Your Input	WormBase Gene ID
eat-4	WBGene00001135
glt-1	WBGene00001620
glt-3	WBGene00001621
glt-4	WBGene00001622
glt-5	WBGene00001623
glt-6	WBGene00001624
glt-7	WBGene00001625
unc-25	WBGene00006762
unc-47	WBGene00006783
unc-46	WBGene00006782
snf-11	WBGene00004910
gta-1	WBGene00001794
alh-7	WBGene00000113
tph-1	WBGene00006600
cat-4	WBGene00000298
ptps-1	WBGene00015010
pcbd-1	WBGene00020397
qdpr-1	WBGene00011398
cat-1	WBGene00000295
mod-5	WBGene00003387
anat-1	WBGene00015938
amx-1	WBGene00000137
alh-1	WBGene00000107
tdc-1	WBGene00006562
tbh-1	WBGene00006541
cat-2	WBGene00000296
bas-1	WBGene00000239
dat-1	WBGene00000934
amx-2	WBGene00000138
alh-6	WBGene00000112
alh-10	WBGene00000116
cha-1	WBGene00000481
unc-17	WBGene00006756
cho-1	WBGene00000501
snf-6	WBGene00004905
ace-1	WBGene00000035
ace-2	WBGene00000036
ace-3	WBGene00000037
ace-4	WBGene00000038
rab-3	WBGene00004267
rab-5	WBGene00004268
aex-6	WBGene00000089
rab-37	WBGene00004285
rab-11.1	WBGene00004274
rab-11.2	WBGene00004275
rab-35	WBGene00004284
rab-7	WBGene00004271
shk-1	WBGene00014261
exp-2	WBGene00001374
kvs-1	WBGene00002242
kvs-2	WBGene00007862
kvs-3	WBGene00018402
kvs-4	WBGene00012967
kvs-5	WBGene00021948
shw-1	WBGene00008819
egl-36	WBGene00001202
shw-3	WBGene00004793
shl-1	WBGene00022240
kqt-1	WBGene00002233
kqt-2	WBGene00002234
kqt-3	WBGene00002235
egl-2	WBGene00001171
unc-103	WBGene00006830
slo-1	Multiple entries : 2
slo-2	WBGene00004831
kcnl-1	WBGene00007176
kcnl-2	WBGene00008570
kcnl-3	WBGene00015387
kcnl-4	WBGene00008265
egl-23	WBGene00001190
sup-9	WBGene00006318
unc-58	WBGene00006792
unc-110	WBGene00006672
twk-1	Multiple entries : 2
twk-2	Multiple entries : 2
twk-3	Multiple entries : 2
twk-4	WBGene00006659
twk-5	Multiple entries : 2
twk-6	Multiple entries : 2
twk-7	Multiple entries : 2
twk-8	Multiple entries : 2
twk-9	Multiple entries : 2
twk-10	Multiple entries : 2
twk-11	Multiple entries : 2
twk-12	Multiple entries : 2
twk-13	Multiple entries : 2
twk-14	Multiple entries : 2
twk-16	Multiple entries : 2
twk-17	Multiple entries : 2
twk-20	Multiple entries : 2
twk-21	Multiple entries : 2
twk-22	WBGene00006675
twk-23	Multiple entries : 2
twk-24	Multiple entries : 2
twk-25	Multiple entries : 2
